的	DE_0;DI_1;DI_4;DI_2;DI_0
光芒	GUANG_1 MANG_2
光影	GUANG_1 YING_3
光华	GUANG_1 HUA_2
先由	XIAN_1 YOU_2
先演	XIAN_1 YAN_3
先头	XIAN_1 TOU_2
先回到	XIAN_1 HUI_2 DAO_4
先例	XIAN_1 LI_4
充气	CHONG_1 QI_4
元气	YUAN_2 QI_4
元氏	YUAN_2 SHI_4
元月份	YUAN_2 YUE_4 FEN_4
儿歌	ER_2 GE_1
僻	PI_4
僵化	JIANG_1 HUA_4
像个孩子	XIANG_4 GE_4 HAI_2 ZI_0
傻姑	SHA_3 GU_1
傲慢	AO_4 MAN_4
偷窥	TOU_1 KUI_1
偶一	OU_3 YI_1
停车费	TING_2 CHE_1 FEI_4
停放	TING_2 FANG_4
停工	TING_2 GONG_1
停办	TING_2 BAN_4
做牙	ZUO_4 YA_2
偏正	PIAN_1 ZHENG_4
偏暗	PIAN_1 AN_4
偏旁	PIAN_1 PANG_2
倾斜	QING_1 XIE_2
倾国倾城	QING_1 GUO_2 QING_1 CHENG_2
值当	ZHI_2 DANG_4
倩倩	QIAN_4 QIAN_4
倡导	CHANG_4 DAO_3
借款人	JIE_4 KUAN_3 REN_2
借完	JIE_4 WAN_2
倒流	DAO_4 LIU_2
倒头	DAO_3 TOU_2
倒卖	DAO_3 MAI_4
修鞋	XIU_1 XIE_2
修护	XIU_1 HU_4
修成	XIU_1 CHENG_2
修心养性	XIU_1 XIN_1 YANG_3 XING_4
修到	XIU_1 DAO_4
信用认证	XIN_4 YONG_4 REN_4 ZHENG_4
信息费	XIN_4 XI_1 FEI_4
信息网络	XIN_4 XI_1 WANG_3 LUO_4
信息工程大学	XIN_4 XI_1 GONG_1 CHENG_2 DA_4 XUE_2
信息处理	XIN_4 XI_1 CHU_2 LI_3;XIN_4 XI_1 CHU_3 LI_3
信念	XIN_4 NIAN_4
信儿	XIN_4 ER_2
保障房	BAO_3 ZHANG_4 FANG_2
保护性	BAO_3 HU_4 XING_4
保密措施	BAO_3 MI_4 CUO_4 SHI_1
保全	BAO_3 QUAN_2
俗话	SU_2 HUA_4
侧边	CE_4 BIAN_1
侠	XIA_2
依照	YI_1 ZHAO_4
依次	YI_1 CI_4
侃侃而谈	KAN_2 KAN_3 ER_2 TAN_2;KAN_3 KAN_3 ER_2 TAN_2
使用证	SHI_3 YONG_4 ZHENG_4
使命	SHI_3 MING_4
佳琪	JIA_1 QI_2
佳怡	JIA_1 YI_2
佰	BAI_3
你管我	NI_3 GUAN_3 WO_3
你爱他	NI_3 AI_4 TA_1
你在哪儿	NI_3 ZAI_4 NA_3 ER_2
作祟	ZUO_4 SUI_4
作案	ZUO_4 AN_4
作奸犯科	ZUO_4 JIAN_1 FAN_4 KE_1
作出	ZUO_4 CHU_1
作会	ZUO_4 HUI_4
作主	ZUO_4 ZHU_3
佛学	FO_2 XUE_2
何因	HE_2 YIN_1
何伟	HE_2 WEI_3
体能	TI_3 NENG_2
住金	ZHU_4 JIN_1
住宿费	ZHU_4 SU_4 FEI_4
低下	DI_1 XIA_4
位差	WEI_4 CHA_1
伽罗	JIA_1 LUO_2
似水	SI_4 SHUI_3
伸出	SHEN_1 CHU_1
伤风感冒	SHANG_1 FENG_1 GAN_3 MAO_4
伤风	SHANG_1 FENG_1
伤者	SHANG_1 ZHE_3
伤残	SHANG_1 CAN_2
伤心的我	SHANG_1 XIN_1 DE_0 WO_3
伤势	SHANG_1 SHI_4
传说中的	CHUAN_2 SHUO_1 ZHONG_1 DE_0
会阳	HUI_4 YANG_2
会泽	HUI_4 ZE_2
会文	HUI_4 WEN_2
会川	HUI_4 CHUAN_1
会山	HUI_4 SHAN_1
会务	HUI_4 WU_4
会东	HUI_4 DONG_1
优待	YOU_1 DAI_4
优品	YOU_1 PIN_3
任然	REN_2 RAN_2
仰望	YANG_3 WANG_4
仪征	YI_2 ZHENG_1
以身作则	YI_3 SHEN_1 ZUO_4 ZE_2
以备	YI_3 BEI_4
以免费	YI_3 MIAN_3 FEI_4
代打	DAI_4 DA_3
代孕	DAI_4 YUN_4
代劳	DAI_4 LAO_2
代写	DAI_4 XIE_3
代买	DAI_4 MAI_3
代为	DAI_4 WEI_2
仙气	XIAN_1 QI_4
从头再来	CONG_2 TOU_2 ZAI_4 LAI_2
从坐	CONG_2 ZUO_4
仍有	RENG_2 YOU_3
仍	RENG_2
今个	JIN_1 GE_4
仁德	REN_2 DE_2
什锦	SHI_2 JIN_3
人活着	REN_2 HUO_2 ZHE_0
人情味	REN_2 QING_2 WEI_4
人寿保险	REN_2 SHOU_4 BAO_2 XIAN_3;REN_2 SHOU_4 BAO_3 XIAN_3
人员管理	REN_2 YUAN_2 GUAN_2 LI_3;REN_2 YUAN_2 GUAN_3 LI_3
人世间	REN_2 SHI_4 JIAN_1
亲亲的	QIN_1 QIN_1 DE_0
京基	JING_1 JI_1
产检	CHAN_3 JIAN_3
产品介绍	CHAN_3 PIN_3 JIE_4 SHAO_4
交错	JIAO_1 CUO_4
交易会	JIAO_1 YI_4 HUI_4
交工	JIAO_1 GONG_1
交学费	JIAO_1 XUE_2 FEI_4
交卷	JIAO_1 JUAN_4;JIAO_1 JUAN_3
交加	JIAO_1 JIA_1
亚马逊	YA_4 MA_3 XUN_4
井岸	JING_3 AN_4
五道	WU_3 DAO_4
五种	WU_2 ZHONG_3
五张照片	WU_3 ZHANG_1 ZHAO_4 PIAN_1
五学	WU_3 XUE_2
五和	WU_3 HE_2
互助	HU_4 ZHU_4
互信	HU_4 XIN_4
云龙	YUN_2 LONG_2
于都	YU_2 DU_1
于全	YU_2 QUAN_2
二部	ER_4 BU_4
二街	ER_4 JIE_1
二段	ER_4 DUAN_4
二机	ER_4 JI_1
二晚	ER_4 WAN_3
二战	ER_4 ZHAN_4;ER_4 ZHAN_0
二套	ER_4 TAO_4
二千块	ER_4 QIAN_1 KUAI_4
二十斤	ER_4 SHI_2 JIN_1
二九三	ER_4 JIU_3 SAN_1
事迹	SHI_4 JI_4
事达	SHI_4 DA_2
事中	SHI_4 ZHONG_1
事不过三	SHI_4 BU_2 GUO_4 SAN_1
争相	ZHENG_1 XIANG_1
乾县	QIAN_2 XIAN_4
乳房	RU_3 FANG_2
乱骂	LUAN_4 MA_4
乱讲	LUAN_4 JIANG_3
乱动	LUAN_4 DONG_4
乱加	LUAN_4 JIA_1
买酒	MAI_3 JIU_3
买茶	MAI_3 CHA_2
买入	MAI_3 RU_4
书会	SHU_1 HUI_4
乡老	XIANG_1 LAO_3
乡亲	XIANG_1 QIN_1
习近平	XI_2 JIN_4 PING_2
乞丐	QI_3 GAI_4
九寨沟	JIU_3 ZHAI_4 GOU_1
乘务	CHENG_2 WU_4
乘凉	CHENG_2 LIANG_2
乐清	YUE_4 QING_1
乌烟瘴气	WU_1 YAN_1 ZHANG_4 QI_4
乌海	WU_1 HAI_3
之本	ZHI_1 BEN_3
之力	ZHI_1 LI_4
之列	ZHI_1 LIE_4
义务兵	YI_4 WU_4 BING_1
么么	ME_0 ME_0;MO_2 MO_2
丽霞	LI_4 XIA_2
丽芬	LI_4 FEN_1
丽红	LI_4 HONG_2
丽君	LI_4 JUN_1
主食	ZHU_3 SHI_2
主营	ZHU_3 YING_2
主编	ZHU_3 BIAN_1
主线	ZHU_3 XIAN_4
为了明天	WEI_4 LE_0 MING_2 TIAN_1
临清	LIN_2 QING_1
临水	LIN_2 SHUI_3
临时抱佛脚	LIN_2 SHI_2 BAO_4 FO_2 JIAO_3
临夏	LIN_2 XIA_4
丰衣足食	FENG_1 YI_1 ZU_2 SHI_2
丰润	FENG_1 RUN_4
丰县	FENG_1 XIAN_4
丰丰	FENG_1 FENG_1
中风	ZHONG_4 FENG_1
中间商	ZHONG_1 JIAN_1 SHANG_1
中裤	ZHONG_1 KU_4
中科大	ZHONG_1 KE_1 DA_4
中气	ZHONG_1 QI_4
中明	ZHONG_1 MING_2
中旺	ZHONG_1 WANG_4
中报	ZHONG_1 BAO_4
中房	ZHONG_1 FANG_2
中意他	ZHONG_4 YI_4 TA_1
中心店	ZHONG_1 XIN_1 DIAN_4
中州大道	ZHONG_1 ZHOU_1 DA_4 DAO_4
中山广场	ZHONG_1 SHAN_1 GUANG_2 CHANG_3
中层干部	ZHONG_1 CENG_2 GAN_4 BU_4
中学生	ZHONG_1 XUE_2 SHENG_1
中央公园	ZHONG_1 YANG_1 GONG_1 YUAN_2
中堂	ZHONG_1 TANG_2
中城	ZHONG_1 CHENG_2
中地	ZHONG_1 DI_4
中国社会	ZHONG_1 GUO_2 SHE_4 HUI_4
中国建设银行	ZHONG_1 GUO_2 JIAN_4 SHE_4 YIN_2 HANG_2
中商	ZHONG_1 SHANG_1
中保	ZHONG_1 BAO_3
个人消费	GE_4 REN_2 XIAO_1 FEI_4
严密	YAN_2 MI_4
严加	YAN_2 JIA_1
两用	LIANG_3 YONG_4
两拨	LIANG_3 BO_1
两多	LIANG_3 DUO_1
两亿	LIANG_3 YI_4
两个人的世界	LIANG_3 GE_4 REN_2 DE_0 SHI_4 JIE_4
东钱湖	DONG_1 QIAN_2 HU_2
东软	DONG_1 RUAN_3
东海岛	DONG_1 HAI_2 DAO_3
东林	DONG_1 LIN_2
东方明珠	DONG_1 FANG_1 MING_2 ZHU_1
东坝	DONG_1 BA_4
东四环	DONG_1 SI_4 HUAN_2
丛台	CONG_2 TAI_2
业相	YE_4 XIANG_1
业大	YE_4 DA_4
丙	BING_3
专门化	ZHUAN_1 MEN_2 HUA_4
专科毕业	ZHUAN_1 KE_1 BI_4 YE_4
专班	ZHUAN_1 BAN_1
专才	ZHUAN_1 CAI_2
专业级	ZHUAN_1 YE_4 JI_2
专业技能	ZHUAN_1 YE_4 JI_4 NENG_2
专业户	ZHUAN_1 YE_4 HU_4
不近人情	BU_2 JIN_4 REN_2 QING_2
不起诉	BU_4 QI_3 SU_4
不育	BU_2 YU_4
不耐	BU_2 NAI_4
不织布	BU_4 ZHI_1 BU_4
不禁	BU_4 JIN_1
不碍	BU_2 AI_4
不知所措	BU_4 ZHI_1 SUO_3 CUO_4
不畅	BU_2 CHANG_4
不效	BU_2 XIAO_4
不折腾	BU_4 ZHE_1 TENG_0
不懈	BU_2 XIE_4
不慌不忙	BU_4 HUANG_1 BU_4 MANG_2
不怕不怕	BU_2 PA_4 BU_2 PA_4
不怀好意	BU_4 HUAI_2 HAO_4 YI_4;BU_4 HUAI_2 HAO_3 YI_4
不快乐	BU_4 KUAI_4 LE_4
不平衡	BU_4 PING_2 HENG_2
不平凡	BU_4 PING_2 FAN_2
不多见	BU_4 DUO_1 JIAN_4
不堪	BU_4 KAN_1
不吉	BU_4 JI_2
不可理喻	BU_4 KE_2 LI_3 YU_4;BU_4 KE_3 LI_3 YU_4
不动产	BU_2 DONG_4 CHAN_3
不再问	BU_2 ZAI_4 WEN_4
不中意	BU_2 ZHONG_4 YI_4
下酒	XIA_4 JIU_3
下排	XIA_4 PAI_2
下头	XIA_4 TOU_2;XIA_4 TOU_0
下坐	XIA_4 ZUO_4
下图	XIA_4 TU_2
下半月	XIA_4 BAN_4 YUE_4
下决心	XIA_4 JUE_2 XIN_1
下册	XIA_4 CE_4
上装	SHANG_4 ZHUANG_1
上江	SHANG_4 JIANG_1
上排	SHANG_4 PAI_2
上岗证	SHANG_4 GANG_3 ZHENG_4
上半场	SHANG_4 BAN_4 CHANG_3
上位	SHANG_4 WEI_4
三首	SAN_1 SHOU_3
三院	SAN_1 YUAN_4
三阳路	SAN_1 YANG_2 LU_4
三辆	SAN_1 LIANG_4
三角形	SAN_1 JIAO_3 XING_2
三街	SAN_1 JIE_1
三目	SAN_1 MU_4
三盒	SAN_1 HE_2
三百多年	SAN_1 BAI_3 DUO_1 NIAN_2
三电	SAN_1 DIAN_4
三正	SAN_1 ZHENG_4
三山	SAN_1 SHAN_1
三头	SAN_1 TOU_2
三四遍	SAN_1 SI_4 BIAN_4
三四三	SAN_1 SI_4 SAN_1
三反	SAN_1 FAN_3
三十米	SAN_1 SHI_2 MI_3
三十匹	SAN_1 SHI_2 PI_3
三北	SAN_1 BEI_3
三包	SAN_1 BAO_1
三信	SAN_1 XIN_4
三井	SAN_1 JING_3
三七分	SAN_1 QI_1 FEN_1
万贯	WAN_4 GUAN_4
万般	WAN_4 BAN_1
万科城	WAN_4 KE_1 CHENG_2
万物	WAN_4 WU_4
万宁	WAN_4 NING_2
万几	WAN_4 JI_3
七高	QI_1 GAO_1
七里河	QI_1 LI_3 HE_2
七站	QI_1 ZHAN_4
七来	QI_1 LAI_2
七周年	QI_1 ZHOU_1 NIAN_2
七十年代	QI_1 SHI_2 NIAN_2 DAI_4
七八九	QI_1 BA_1 JIU_3
七两	QI_1 LIANG_3
丁点	DING_1 DIAN_3
丁克一族	DING_1 KE_4 YI_4 ZU_2
一飞	YI_4 FEI_1
一问一答	YI_2 WEN_4 YI_4 DA_2
一超	YI_4 CHAO_1
一落	YI_2 LUO_4
一百零六	YI_4 BAI_3 LING_2 LIU_4
一百零七	YI_4 BAI_3 LING_2 QI_1
一百元	YI_4 BAI_3 YUAN_2
一生一世	YI_4 SHENG_1 YI_2 SHI_4
一滴	YI_4 DI_1
一条心	YI_4 TIAO_2 XIN_1
一束	YI_1 SHU_4;YI_2 SHU_4
一朝一夕	YI_4 ZHAO_1 YI_4 XI_1
一时兴起	YI_4 SHI_2 XING_1 QI_3
一日游	YI_2 RI_4 YOU_2
一方水土养一方人	YI_4 FANG_1 SHUI_2 TU_2 YANG_3 YI_4 FANG_1 REN_2
一意	YI_2 YI_4
一家老小	YI_4 JIA_1 LAO_2 XIAO_3
一客	YI_2 KE_4
一天之后	YI_1 TIAN_1 ZHI_1 HOU_4
一夜暴富	YI_2 YE_4 BAO_4 FU_4
一场空	YI_4 CHANG_2 KONG_1;YI_4 CHANG_3 KONG_1
一原	YI_4 YUAN_2
一千年	YI_4 QIAN_1 NIAN_2
一千四百	YI_4 QIAN_1 SI_4 BAI_3
一十九	YI_1 SHI_2 JIU_3
一动不动	YI_2 DONG_4 BU_2 DONG_4;YI_2 DONG_4 BU_0 DONG_4
一刻钟	YI_2 KE_4 ZHONG_1;YI_2 KE_4 ZHONG_0
一分一秒	YI_4 FEN_1 YI_4 MIAO_3
一准	YI_4 ZHUN_3
一代人	YI_2 DAI_4 REN_2;YI_2 DAI_4 REN_0
一举两得	YI_4 JU_2 LIANG_3 DE_2;YI_4 JU_3 LIANG_3 DE_2
一个梦想	YI_2 GE_4 MENG_4 XIANG_3
一个人睡	YI_2 GE_4 REN_2 SHUI_4
一万年	YI_2 WAN_4 NIAN_2
龙舟	LONG_2 ZHOU_1
龙胜	LONG_2 SHENG_4
龙猫	LONG_2 MAO_1
龙源	LONG_2 YUAN_2
龙华路	LONG_2 HUA_2 LU_4
鼻	BI_2
鼎盛	DING_3 SHENG_4
默许	MO_4 XU_3
默	MO_4
黑龙江牡丹江	HEI_1 LONG_2 JIANG_1 MU_3 DAN_1 JIANG_1
黑鸭	HEI_1 YA_1
黑脸	HEI_1 LIAN_3
黑社会	HEI_1 SHE_4 HUI_4
黑皮肤	HEI_1 PI_2 FU_1
黑客	HEI_1 KE_4
黑头	HEI_1 TOU_2
黑天	HEI_1 TIAN_1
黑夜	HEI_1 YE_4
黏人	NIAN_2 REN_2
黄页	HUANG_2 YE_4
黄道	HUANG_2 DAO_4
黄边	HUANG_2 BIAN_1
黄轩	HUANG_2 XUAN_1
黄花菜	HUANG_2 HUA_1 CAI_4
黄红	HUANG_2 HONG_2
黄田	HUANG_2 TIAN_2
黄沙	HUANG_2 SHA_1
黄景	HUANG_2 JING_3
黄岩	HUANG_2 YAN_2
黄土岭	HUANG_2 TU_2 LING_3
黄圃	HUANG_2 PU_3
黄佳	HUANG_2 JIA_1
麦岛	MAI_4 DAO_3
麦克风	MAI_4 KE_4 FENG_1
鹿	LU_4
鹤壁	HE_4 BI_4
鹅蛋	E_2 DAN_4
鹅湖	E_2 HU_2
鸿泰	HONG_2 TAI_4
鸭血	YA_1 XUE_4
鸭蛋	YA_1 DAN_4
鸡翅	JI_1 CHI_4
鸡柳	JI_1 LIU_3
鲶鱼	NIAN_2 YU_2
鲁华	LU_3 HUA_2
鱼头	YU_2 TOU_2
魏然	WEI_4 RAN_2
鬼鬼	GUI_2 GUI_3
鬼话	GUI_3 HUA_4
鬼片	GUI_3 PIAN_4
高频率	GAO_1 PIN_2 LV_4
高联	GAO_1 LIAN_2
高级白领	GAO_1 JI_2 BAI_2 LING_3
高玉	GAO_1 YU_4
高权	GAO_1 QUAN_2
高昂	GAO_1 ANG_2
高新一	GAO_1 XIN_1 YI_1
高建	GAO_1 JIAN_4
高岭	GAO_1 LING_3
高大威	GAO_1 DA_4 WEI_1
高升桥	GAO_1 SHENG_1 QIAO_2
高光	GAO_1 GUANG_1
高仿	GAO_1 FANG_3
高下	GAO_1 XIA_4
骨骼	GU_3 GE_2
骡马	LUO_2 MA_3
骗走	PIAN_4 ZOU_3
驿	YI_4
驾驶室	JIA_4 SHI_3 SHI_4
马蹄	MA_3 TI_2
马赛	MA_3 SAI_4
马王堆	MA_3 WANG_2 DUI_1
马总	MA_2 ZONG_3
马家湾	MA_3 JIA_1 WAN_1
马宝	MA_2 BAO_3
马后	MA_3 HOU_4
马伊俐	MA_3 YI_1 LI_4
马人	MA_3 REN_2
香锅	XIANG_1 GUO_1
香辣	XIANG_1 LA_4
香菜	XIANG_1 CAI_4
香榭	XIANG_1 XIE_4
香椿	XIANG_1 CHUN_1
首开	SHOU_3 KAI_1
首年	SHOU_3 NIAN_2
饮茶	YIN_3 CHA_2
饭量	FAN_4 LIANG_4;FAN_4 LIANG_0
餐饮服务	CAN_1 YIN_3 FU_2 WU_4
食道	SHI_2 DAO_4
飞达	FEI_1 DA_2
飞跃	FEI_1 YUE_4
飞走了	FEI_1 ZOU_3 LE_0
飞天	FEI_1 TIAN_1
飘着	PIAO_1 ZHE_0
风险控制	FENG_1 XIAN_3 KONG_4 ZHI_4
风华正茂	FENG_1 HUA_2 ZHENG_4 MAO_4
风云	FENG_1 YUN_2
颐高	YI_2 GAO_1
颍上	YING_3 SHANG_4
颈	GENG_3;JING_3
颇有	PO_1 YOU_3
领馆	LING_2 GUAN_3;LING_3 GUAN_3
领教	LING_3 JIAO_4
领工	LING_3 GONG_1
领奖	LING_2 JIANG_3;LING_3 JIANG_3
领回	LING_3 HUI_2
领口	LING_2 KOU_3;LING_3 KOU_3
预言	YU_4 YAN_2
预案	YU_4 AN_4
顺路来	SHUN_4 LU_4 LAI_2
顺然	SHUN_4 RAN_2
顺气	SHUN_4 QI_4
顺应	SHUN_4 YING_4;SHUN_4 YING_0
顺女	SHUN_4 NV_3
顺城	SHUN_4 CHENG_2
顶顶	DING_2 DING_3
顶部	DING_3 BU_4
顶用	DING_3 YONG_4
音色	YIN_1 SE_4
音信	YIN_1 XIN_4
音乐声	YIN_1 YUE_4 SHENG_1
音乐剧	YIN_1 YUE_4 JU_4
韩雪	HAN_2 XUE_3
韩文	HAN_2 WEN_2
韩州	HAN_2 ZHOU_1
韩一	HAN_2 YI_1
韦小宝	WEI_2 XIAO_2 BAO_3
鞭子	BIAN_1 ZI_3;BIAN_1 ZI_0
鞍山市	AN_1 SHAN_1 SHI_4
面颜	MIAN_4 YAN_2
面点王	MIAN_4 DIAN_3 WANG_2
面孔	MIAN_4 KONG_3
面团	MIAN_4 TUAN_2
靠身	KAO_4 SHEN_1
靠到	KAO_4 DAO_4
静文	JING_4 WEN_2
静悄悄	JING_4 QIAO_1 QIAO_1
靖	JING_4
靓女	LIANG_4 NV_3
青秀山	QING_1 XIU_4 SHAN_1
青椒	QING_1 JIAO_1
青春活力	QING_1 CHUN_1 HUO_2 LI_4
青少年	QING_1 SHAO_4 NIAN_2
青天	QING_1 TIAN_1
露骨	LOU_4 GU_3;LU_4 GU_3
露营	LU_4 YING_2
露脸	LOU_4 LIAN_3
需要自由	XU_1 YAO_4 ZI_4 YOU_2
雷诺	LEI_2 NUO_4
零花	LING_2 HUA_1
零碎	LING_2 SUI_4;LING_2 SUI_0
零头	LING_2 TOU_2
零十	LING_2 SHI_2
雪糕	XUE_3 GAO_1
雨辰	YU_3 CHEN_2
雨果	YU_2 GUO_3
雨后	YU_3 HOU_4
雕	DIAO_1
集采	JI_2 CAI_3
集资	JI_2 ZI_1
集市	JI_2 SHI_4
雅芳	YA_3 FANG_1
雀斑	QUE_4 BAN_1
难念的经	NAN_2 NIAN_4 DE_0 JING_1
难人	NAN_2 REN_2
难产	NAN_2 CHAN_3
隧道口	SUI_4 DAO_4 KOU_3
隔间	GE_2 JIAN_1
隔行	GE_2 HANG_2
隔绝	GE_2 JUE_2
隔层	GE_2 CENG_2
隔壁邻居	GE_2 BI_4 LIN_2 JU_1
随风	SUI_2 FENG_1
随机性	SUI_2 JI_1 XING_4
随想	SUI_2 XIANG_3
随处	SUI_2 CHU_4
陶渊明	TAO_2 YUAN_1 MING_2
陪聊	PEI_2 LIAO_2
陪你到	PEI_2 NI_3 DAO_4
除了爱情	CHU_2 LE_0 AI_4 QING_2
限定性	XIAN_4 DING_4 XING_4
降温	JIANG_4 WEN_1
陋习	LOU_4 XI_2
陈静	CHEN_2 JING_4
陈雪	CHEN_2 XUE_3
陈述	CHEN_2 SHU_4
陈琳	CHEN_2 LIN_2
陈琦	CHEN_2 QI_2
陈浩	CHEN_2 HAO_4
陈没	CHEN_2 MO_4
陈昌	CHEN_2 CHANG_1
陈学	CHEN_2 XUE_2
陈可	CHEN_2 KE_3
陈上	CHEN_2 SHANG_4
陆毅	LU_4 YI_4
附院	FU_4 YUAN_4
附加条件	FU_4 JIA_1 TIAO_2 JIAN_4
阿鹏	A_1 PENG_2
阿金	A_1 JIN_1
阿西吧	A_1 XI_1 BA_1
阿芬	A_1 FEN_1
阿良	A_1 LIANG_2
阿美	A_1 MEI_3
阿生	A_1 SHENG_1
阿波罗	A_1 BO_1 LUO_2
阿林	A_1 LIN_2
阿来	A_1 LAI_2
阿木	A_1 MU_4
阿月	A_1 YUE_4
阿德	A_1 DE_2
阿当	A_1 DANG_1
阿平	A_1 PING_2
阿嬷	A_1 MO_2
阿发	A_1 FA_1
阿卡	A_1 KA_3
阻断	ZU_3 DUAN_4
阻挡	ZU_2 DANG_3;ZU_3 DANG_3
阶梯式	JIE_1 TI_1 SHI_4
阴暗	YIN_1 AN_4
阳路	YANG_2 LU_4
阳痿	YANG_2 WEI_3
阳朔	YANG_2 SHUO_4
阳性	YANG_2 XING_4
阳光健康	YANG_2 GUANG_1 JIAN_4 KANG_1
防身	FANG_2 SHEN_1
防老	FANG_2 LAO_3
防盗窗	FANG_2 DAO_4 CHUANG_1
防疫针	FANG_2 YI_4 ZHEN_1
阪	BAN_3
阜沙	FU_4 SHA_1
阆中	LANG_2 ZHONG_1
阅卷	YUE_4 JUAN_4
阀门	FA_2 MEN_2
闽北	MIN_2 BEI_3;MIN_3 BEI_3
闸口	ZHA_2 KOU_3
闵	MIN_3
闲事	XIAN_2 SHI_4
闯进	CHUANG_3 JIN_4
闯事	CHUANG_3 SHI_4
问题男孩	WEN_4 TI_2 NAN_2 HAI_2
闭关	BI_4 GUAN_1
闪光	SHAN_3 GUANG_1
门面房	MEN_2 MIAN_4 FANG_2
门铃	MEN_2 LING_2
门下	MEN_2 XIA_4
长进	ZHANG_3 JIN_4
长相忆	ZHANG_3 XIANG_4 YI_4
长焦	CHANG_2 JIAO_1
长沙话	CHANG_2 SHA_1 HUA_4
长江大桥	CHANG_2 JIANG_1 DA_4 QIAO_2
长水	CHANG_2 SHUI_3
长林	CHANG_2 LIN_2
长期以来	CHANG_2 QI_1 YI_3 LAI_2
长方形	CHANG_2 FANG_1 XING_2
长官	ZHANG_3 GUAN_1
长坡	CHANG_2 PO_1
长号	CHANG_2 HAO_4
长兴岛	CHANG_2 XING_1 DAO_3
长兴	CHANG_2 XING_1;CHANG_2 XING_4
长信	CHANG_2 XIN_4
长久以来	CHANG_2 JIU_3 YI_3 LAI_2
锻	DUAN_4
锦绣路	JIN_3 XIU_4 LU_4
锡惠	XI_1 HUI_4
错题	CUO_4 TI_2
错填	CUO_4 TIAN_2
锁屏	SUO_3 PING_2
销售商	XIAO_1 SHOU_4 SHANG_1
铺位	PU_4 WEI_4;PU_4 WEI_0
银行保险	YIN_2 HANG_2 BAO_2 XIAN_3
银石	YIN_2 SHI_2
银座商城	YIN_2 ZUO_4 SHANG_1 CHENG_2
铜山	TONG_2 SHAN_1
钱钱钱	QIAN_2 QIAN_2 QIAN_2
钱路	QIAN_2 LU_4
钱起	QIAN_2 QI_3
钱纸	QIAN_2 ZHI_3
钱红	QIAN_2 HONG_2
钱款	QIAN_2 KUAN_3
钰	YU_4
钢厂	GANG_1 CHANG_3
钓鱼台	DIAO_4 YU_2 TAI_2
针线	ZHEN_1 XIAN_4;ZHEN_1 XIAN_0
针扎	ZHEN_1 ZHA_1
针尖	ZHEN_1 JIAN_1
鑫磊	XIN_1 LEI_3
鑫海	XIN_1 HAI_3
錾子	ZAN_4 ZI_3;ZAN_4 ZI_0
金龙	JIN_1 LONG_2
金黄	JIN_1 HUANG_2
金鹏	JIN_1 PENG_2
金鸡	JIN_1 JI_1
金鱼	JIN_1 YU_2
金钥匙	JIN_1 YAO_4 SHI_0
金融贷款	JIN_1 RONG_2 DAI_4 KUAN_3
金融业	JIN_1 RONG_2 YE_4
金福	JIN_1 FU_2
金溪	JIN_1 XI_1
金浦	JIN_1 PU_3
金沙洲	JIN_1 SHA_1 ZHOU_1
金江	JIN_1 JIANG_1
金木	JIN_1 MU_4
金明	JIN_1 MING_2
金时代	JIN_1 SHI_2 DAI_4
金大	JIN_1 DA_4
金元	JIN_1 YUAN_2
金伯利	JIN_1 BO_2 LI_4
金人	JIN_1 REN_2
金乡	JIN_1 XIANG_1
野蛮人	YE_3 MAN_2 REN_2
重装	CHONG_2 ZHUANG_1;ZHONG_4 ZHUANG_1
重症	ZHONG_4 ZHENG_4
重病	ZHONG_4 BING_4
重用	ZHONG_4 YONG_4
重点高中	ZHONG_4 DIAN_3 GAO_1 ZHONG_1
重新再来	CHONG_2 XIN_1 ZAI_4 LAI_2
重提	CHONG_2 TI_2
重担	ZHONG_4 DAN_4
重庆大学	CHONG_2 QING_4 DA_4 XUE_2
重头戏	ZHONG_4 TOU_2 XI_4
重在	ZHONG_4 ZAI_4
重力	ZHONG_4 LI_4
重写	CHONG_2 XIE_3
重任	ZHONG_4 REN_4
重人	ZHONG_4 REN_2
里脊	LI_2 JI_3;LI_3 JI_0
里约	LI_3 YUE_1
里仁	LI_3 REN_2
释然	SHI_4 RAN_2
释怀	SHI_4 HUAI_2
醉话	ZUI_4 HUA_4
酵素	JIAO_4 SU_4
酱	JIANG_4
酒肉朋友	JIU_3 ROU_4 PENG_2 YOU_3
酒柜	JIU_3 GUI_4
酒店用品	JIU_3 DIAN_4 YONG_4 PIN_3
酒坊	JIU_3 FANG_1
配饰	PEI_4 SHI_4
配给	PEI_4 JI_3
配料	PEI_4 LIAO_4
配发	PEI_4 FA_1
酌情	ZHUO_2 QING_2
都是兄弟	DOU_1 SHI_4 XIONG_1 DI_4
都宝	DU_1 BAO_3
部委	BU_4 WEI_3
郡	JUN_4
邵武	SHAO_4 WU_3
那个夏天	NA_4 GE_4 XIA_4 TIAN_1
那一晚	NA_4 YI_1 WAN_3
邓红	DENG_4 HONG_2
邓明	DENG_4 MING_2
邀你	YAO_1 NI_3
遵从	ZUN_1 CONG_2
遥遥无期	YAO_2 YAO_2 WU_2 QI_1
遛达	LIU_2 DA_2
遗失	YI_2 SHI_1
遗嘱	YI_2 ZHU_3
道真	DAO_4 ZHEN_1
道心	DAO_4 XIN_1
